Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,5/11/20 17:10,Cherry Hill Running,6.08,629,0:45:50,155,161,170,178,7:32,6:18,189,195,1.26,00:40.9,7,373,42195,12632,5.507828482437638
Running,5/10/20 18:25,Cherry Hill Running,4.0,396,0:30:22,148,159,170,198,7:35,6:51,144,148,1.24,00:01.8,5,584,42195,12632,77.36443671562503
Running,5/8/20 17:39,Cherry Hill Running,3.1,315,0:24:32,145,155,174,178,7:55,7:18,76,84,1.17,00:48.8,4,326,42195,12632,77.5196083538015
Running,5/7/20 17:00,Cherry Hill Running,5.5,525,0:38:52,153,173,170,178,7:04,6:31,182,186,1.33,03:30.7,6,3,42195,12632,22.69868256803592
Running,5/5/20 17:37,Cherry Hill Running,5.0,471,0:36:45,146,157,170,178,7:21,6:37,130,133,1.28,00:00.6,6,91,42195,12632,93.38484810940123
Running,5/4/20 16:55,Cherry Hill Running,5.01,516,0:37:57,152,161,170,178,7:35,6:59,148,152,1.26,00:03.2,6,444,42195,12632,25.35413183771028
Running,5/1/20 15:03,Cherry Hill Running,5.35,534,0:39:23,151,169,170,178,7:21,6:38,137,143,1.28,02:34.1,6,203,42195,12632,9.458880012112802
Running,4/29/20 16:59,Cherry Hill Running,5.43,523,0:40:40,146,172,170,176,7:29,6:25,133,136,1.26,03:12.6,6,438,42195,12632,29.224072612596743
Running,4/28/20 17:03,Cherry Hill Running,5.0,492,0:37:39,147,160,168,176,7:32,6:48,164,167,1.26,00:01.8,6,669,42195,12632,76.25000645510195
Running,4/27/20 16:43,Cherry Hill Running,5.01,414,0:36:32,136,166,170,180,7:18,6:30,144,149,1.3,00:08.1,6,681,42195,12632,9.150073206385345
Running,4/25/20 17:25,Cherry Hill Running,7.0,718,0:52:52,154,181,170,178,7:33,4:58,269,261,1.26,00:02.7,8,304,42195,12632,51.814615886341976
